id_vivienda;zona;superficie_m2;dormitorios;banos;acceso_carretera;cuarto_invitados;sotano;caldera;aire_acondicionado;parking;piscina;amueblado;precio
0;Windhelm;48.5;3;1;si;no;no;no;no;0;no;no;175000
1;Windhelm;39.1;3;1;no;no;no;no;no;0;no;si;175000
2;Windhelm;40;2;1;si;no;si;no;no;2;no;no;182000
3;Windhelm;39.9;2;1;no;no;no;no;no;1;no;no;185500
4;Windhelm;27;3;1;si;no;no;no;no;0;no;no;189000
5;Windhelm;40;2;1;no;no;no;no;no;0;no;no;213500
5;Windhelm;40;2;1;no;no;no;no;no;0;no;no;213500
6;Windhelm;37.87;4;2;si;no;no;no;no;0;no;si;238000
7;Windhelm;34.75;3;1;si;no;no;no;no;0;no;si;238000
8;Windhelm;46.35;2;1;no;no;no;no;no;0;no;no;240800
9;Windhelm;40;2;1;si;no;no;no;no;1;no;no;245000
10;Windhelm;46;2;1;si;no;no;no;no;0;no;no;259000
11;Windhelm;46;2;2;si;no;si;no;no;1;no;si;259000
12;Windhelm;39.1;2;;no;no;no;no;no;0;no;no;260400
13;Windhelm;50;3;1;si;no;no;no;si;?;no;no;265300
14;Windhelm;41.85;2;1;si;no;no;no;si;?;no;no;265300
15;Windhelm;46.3;3;3;no;si;no;no;no;0;no;no;266000
16;Windhelm;38;3;1;si;no;no;no;no;0;no;no;266000
17;Windhelm;50;2;1;si;no;no;no;no;0;no;no;269500
18;Windhelm;78;2;1;si;no;no;no;no;0;no;no;273000
19;Windhelm;50;3;1;si;no;no;no;no;1;no;no;273000
20;Windhelm;70;2;1;si;no;no;no;no;0;no;semi;287000
21;Windhelm;46.3;2;1;si;no;no;no;no;0;no;no;287000
22;Windhelm;46;3;1;no;no;no;no;no;1;no;no;294000
23;Windhelm;76.15;3;1;si;no;no;no;no;0;no;semi;294000
24;Windhelm;41.5;3;1;no;no;no;no;no;0;no;no;294000
25;Windhelm;40;2;1;si;no;no;no;no;0;no;semi;296100
26;Windhelm;40.9;3;1;no;no;no;no;no;0;no;semi;301000
27;Windhelm;42.4;3;1;si;no;no;no;no;2;no;semi;301000
28;Windhelm;38.35;2;1;si;no;no;no;no;0;no;semi;301000
29;Windhelm;47.5;3;1;si;no;no;no;no;0;no;no;301000
30;Windhelm;48;2;1;si;no;no;no;no;0;no;no;304500
31;Windhelm;55;2;1;si;no;no;si;no;1;no;semi;308000
32;Windhelm;40;3;1;no;no;no;no;si;0;no;no;311500
33;Windhelm;45;2;1;si;no;no;no;no;0;no;no;311500
34;Windhelm;55;3;1;si;no;no;no;si;0;no;no;314300
35;Windhelm;49.86;2;2;no;si;si;no;no;1;no;no;315000
36;Windhelm;44.5;3;1;si;no;si;no;no;0;no;semi;315000
37;Windhelm;100;3;1;si;no;no;no;no;2;no;semi;315000
38;Windhelm;41.2;3;1;no;no;no;no;no;0;no;si;322000
39;Windhelm;70.6;3;1;si;si;si;no;no;0;no;si;329000
40;Windhelm;50.4;2;1;si;no;no;no;no;0;no;no;329000
41;Windhelm;68.8;3;1;si;no;no;no;no;1;no;no;329000
42;Windhelm;44.8;4;1;no;no;no;no;no;1;no;semi;329000
43;Windhelm;50.4;2;1;si;no;no;no;no;1;no;no;332500
44;Windhelm;31.45;3;1;si;no;si;no;no;0;si;si;333200
45;Windhelm;57.5;2;1;si;no;no;no;no;0;no;no;336000
46;Windhelm;41.85;2;1;si;no;si;no;no;2;no;si;336000
47;Windhelm;50;2;1;si;no;no;no;no;0;no;no;343000
48;Windhelm;84.24;3;1;no;no;no;no;no;0;no;no;350000
49;Windhelm;44.8;3;;no;no;no;no;si;0;no;no;350000
50;Windhelm;46;6;1;si;no;no;no;no;1;no;no;350000
51;Windhelm;69;2;1;si;no;no;no;no;1;no;si;350000
52;Windhelm;41.2;3;1;si;no;no;no;no;1;no;no;350000
53;Windhelm;83.5;2;;si;no;no;no;no;1;no;semi;350000
54;Windhelm;52.4;3;1;si;no;no;no;si;0;no;semi;350000
55;Windhelm;31.35;3;2;no;no;no;no;no;0;no;no;350000
56;Windhelm;41.5;3;1;si;no;si;no;no;0;no;si;357000
57;Windhelm;55;2;1;si;no;no;no;no;0;no;semi;360500
58;Windhelm;52.8;2;1;si;no;no;no;si;2;no;semi;364000
59;Windhelm;51.3;3;2;si;no;no;no;no;2;no;semi;364000
60;Windhelm;32.75;3;1;si;no;no;si;si;0;si;semi;364000
61;Windhelm;40;2;1;si;no;no;no;si;0;no;si;364000
62;Windhelm;66.4;2;1;no;no;no;no;no;0;no;semi;367500
63;Windhelm;46;2;1;si;no;no;no;no;0;no;si;367500
64;Windhelm;64.5;2;1;si;no;no;no;no;0;no;si;370300
65;Windhelm;50.5;2;1;si;no;no;no;no;0;no;si;371000
65;Windhelm;50.5;2;1;si;no;no;no;no;0;no;si;371000
66;Windhelm;41.8;2;2;si;no;si;no;no;2;no;semi;385000
67;Windhelm;48.5;2;1;si;no;no;no;no;0;no;semi;385000
68;Windhelm;47.8;2;1;si;si;si;no;no;0;no;semi;388500
69;Windhelm;41.8;4;2;si;no;no;no;no;0;no;si;388500
70;Windhelm;82.6;3;2;si;si;si;no;no;3;no;si;392000
71;Windhelm;65;4;1;si;si;si;no;no;0;no;semi;392000
72;Windhelm;90.8;3;1;si;no;no;no;si;2;no;semi;392000
73;Windhelm;74.8;3;1;no;no;no;no;si;1;no;semi;399000
74;Windhelm;40;4;1;si;no;si;no;si;2;no;semi;406000
75;Windhelm;50.4;2;1;si;no;no;no;no;1;no;semi;409500
76;Windhelm;46;3;1;si;no;si;no;si;0;si;si;409850
77;Windhelm;58.4;3;1;si;no;no;no;no;1;no;semi;416500
78;Windhelm;50.8;3;1;si;no;no;no;no;2;no;semi;416500
79;Windhelm;92.5;3;1;si;no;si;no;no;3;no;semi;419300
80;Windhelm;44.5;3;1;si;no;no;no;no;1;no;semi;419300
81;Windhelm;68.5;;1;si;si;si;no;no;2;no;semi;420000
82;Windhelm;46.4;3;2;si;no;si;no;no;0;no;no;420000
83;Windhelm;31.45;3;1;si;no;no;no;no;1;si;no;420000
84;Windhelm;55;3;2;si;no;no;si;no;1;no;si;434000
85;Windhelm;38.8;3;1;si;no;no;no;no;0;si;semi;440300
86;Windhelm;49.68;3;1;no;no;no;no;no;0;no;semi;441000
87;Windhelm;59;2;1;si;no;si;no;no;0;no;semi;441000
88;Windhelm;47.5;2;1;si;si;si;no;no;0;no;semi;444500
89;Windhelm;55.1;4;1;si;no;no;no;si;2;no;semi;448000
90;Windhelm;92.5;3;1;si;no;no;no;no;0;no;si;448000
91;Windhelm;45.1;3;1;si;no;no;no;no;0;no;semi;451500
92;Windhelm;44.5;3;1;si;no;si;no;no;1;no;semi;451500
93;Windhelm;59.9;4;2;si;si;si;no;no;0;si;si;454300
94;Windhelm;35.5;3;1;si;no;si;no;no;0;no;si;455000
95;Windhelm;45.2;3;1;si;no;no;no;no;0;si;semi;455000
96;Windhelm;51.6;3;1;si;si;si;no;si;0;no;no;462000
97;Windhelm;46.3;3;1;si;no;no;no;no;2;no;semi;469000
98;Windhelm;53.2;3;1;si;no;no;no;no;0;si;semi;469000
99;Windhelm;74.4;2;1;si;no;no;no;si;3;no;semi;475300
100;Windhelm;73.21;3;1;si;no;si;no;si;1;no;si;476000
101;Windhelm;44.2;4;2;si;no;si;no;si;2;no;semi;489300
102;Windhelm;59.95;4;2;si;no;si;no;no;0;no;semi;489300
103;Windhelm;64;4;1;si;no;no;no;no;0;no;semi;490000
104;Windhelm;73;3;1;si;no;no;no;si;2;no;semi;490000
105;Windhelm;68;2;1;si;si;si;no;si;0;no;semi;490000
106;Windhelm;40;3;1;si;no;si;no;si;0;no;semi;490000
107;Windhelm;39.7;3;1;si;no;no;no;no;0;no;semi;490000
108;Windhelm;56.46;3;1;si;si;si;no;no;2;no;semi;490000
109;Windhelm;91.5;3;2;si;si;si;no;no;0;no;semi;500500
110;Windhelm;86;4;1;si;no;no;no;si;2;no;si;504000
111;Windhelm;117;;;si;si;si;no;no;0;no;semi;504000
112;Windhelm;67.2;2;1;si;no;no;no;si;0;si;no;507500
113;Windhelm;55;4;2;no;no;si;no;si;2;no;semi;521500
114;Windhelm;80.85;3;1;si;si;si;no;no;2;si;semi;522900
115;Windhelm;75.4;4;2;no;no;no;no;si;0;no;semi;525000
116;Windhelm;48;3;1;si;si;si;no;no;1;si;no;525000
117;Windhelm;88;3;1;si;no;si;no;si;2;si;no;532000
118;Windhelm;74.5;3;2;si;si;si;si;no;0;no;no;538300
119;Windhelm;78.25;3;1;si;si;si;no;si;0;si;semi;542500
119;Windhelm;78.25;3;1;si;si;si;no;si;0;si;semi;542500
120;Windhelm;38.17;4;2;no;si;si;no;no;1;no;si;549500
121;Windhelm;79;3;1;si;si;si;no;no;0;si;semi;552300
122;Windhelm;46.5;3;2;si;no;no;no;no;2;no;semi;553000
123;Windhelm;57;4;1;si;si;si;no;si;1;no;si;560000
124;Windhelm;60;3;1;si;no;no;no;no;0;no;si;560000
125;Windhelm;73.6;3;1;si;si;si;no;si;2;si;si;574000
126;Windhelm;62;3;1;si;no;no;no;si;0;no;semi;581000
127;Windhelm;124.6;3;1;si;no;no;no;no;2;si;semi;587300
128;Windhelm;42.4;4;1;si;no;no;no;no;1;no;semi;610750
129;Windhelm;55;3;1;si;no;no;no;si;0;no;no;616000
130;Windhelm;65;3;1;si;no;no;no;no;1;si;no;623000
131;Windhelm;100;3;1;si;no;si;no;no;1;si;si;630000
132;Windhelm;70;3;1;si;no;no;si;no;1;si;semi;662900
133;Windhelm;74.2;3;2;si;no;no;no;si;0;si;si;665000
134;Windhelm;124.4;4;1;si;no;si;no;no;1;si;semi;734300
135;Windhelm;74.8;3;2;si;no;no;no;si;2;no;no;770000
136;Windhelm;70;3;1;si;si;no;no;si;2;no;no;796250
137;Windhelm;80;3;1;si;no;no;no;si;2;no;semi;840000
138;Windhelm;98;3;2;si;no;no;no;si;2;no;si;857500
139;Windhelm;74.2;3;2;si;no;no;no;si;1;si;semi;885500
140;Windhelm;70;4;3;si;si;si;si;no;2;no;semi;968100
141;Windhelm;142;3;1;si;no;si;no;si;2;si;si;980000
142;Windhelm;95.8;4;3;si;no;no;no;si;2;si;semi;1015000
143;Windhelm;109.6;3;2;si;no;si;no;no;2;si;semi;1225000
144;Windhelm;43.6;2;1;si;no;no;no;no;1;no;no;210000
145;Windhelm;28.36;2;1;no;no;si;no;no;0;no;semi;227500
146;Riften;49.7;3;1;si;no;si;no;no;0;no;no;227500
147;Riften;54;3;1;si;no;no;no;no;0;no;no;248500
148;Riften;53.5;3;1;no;no;no;si;no;1;no;no;283500
149;Windhelm;36.4;2;1;no;no;no;no;no;1;no;si;283500
150;Riften;90.5;2;1;si;no;no;no;no;0;no;no;300300
151;Riften;45;2;1;no;no;si;no;no;0;no;semi;315000
152;Riften;53.7;;1;si;no;no;no;no;0;no;no;322000
153;Riften;53.2;3;1;no;no;no;no;no;1;no;no;322000
154;Riften;41.8;4;1;si;no;si;no;si;0;no;no;329000
155;Windhelm;47.92;4;1;si;no;no;no;no;0;no;semi;329000
156;Riften;59.6;4;1;no;no;no;no;no;0;no;semi;336000
157;Riften;47.2;2;1;no;no;no;no;si;0;no;no;336000
158;Riften;41;3;1;no;no;si;no;no;0;no;semi;336000
159;Riften;57.85;3;;si;si;si;no;si;1;no;si;339500
160;Riften;44.5;3;1;si;no;si;no;no;2;no;no;339500
161;Riften;41.85;2;1;si;no;no;no;no;2;no;no;343000
162;Riften;31.45;3;1;si;no;no;no;no;0;si;si;343000
163;Riften;46.5;3;1;si;no;no;no;no;0;no;no;350000
164;Riften;45.12;2;1;si;no;no;no;no;1;si;no;350000
165;Riften;139.44;3;1;si;no;no;no;no;0;no;no;350000
166;Riften;55;2;1;no;no;no;no;no;0;no;si;357000
167;Riften;46.4;2;1;si;no;no;no;no;0;no;no;357000
168;Riften;45.7;3;1;si;no;si;no;no;0;no;semi;364000
169;Riften;;2;2;si;no;si;no;no;0;no;semi;364000
170;Riften;38.5;3;2;no;no;si;no;no;0;si;no;364000
171;Riften;46.3;2;1;si;no;si;no;no;0;no;si;367500
172;Riften;46.3;2;1;si;no;no;no;si;0;no;no;367500
173;Riften;41.2;3;1;no;no;si;si;no;0;no;semi;370300
174;Riften;46;3;1;si;no;no;no;no;1;no;no;371000
175;Riften;92.5;3;1;si;no;no;no;no;2;no;si;377300
176;Riften;46;2;1;si;no;no;no;no;0;no;semi;378000
177;Riften;38.56;3;1;si;no;no;no;no;0;si;si;378000
178;Riften;63;5;2;si;no;no;no;no;0;no;semi;385000
179;Riften;81.52;3;1;si;no;no;no;si;0;no;si;385000
180;Riften;30.15;3;1;si;no;si;no;no;0;si;semi;385000
181;Riften;40;3;1;si;no;no;no;no;0;no;semi;392000
182;Riften;48.16;2;1;si;no;si;no;si;2;no;si;392000
183;Riften;49.6;3;1;si;no;no;no;no;0;no;si;399000
184;Riften;55;3;1;no;no;si;no;si;0;no;semi;400750
185;Riften;44.6;4;1;si;no;no;no;si;0;no;semi;400750
186;Riften;64;3;1;si;no;no;no;no;3;no;semi;402500
187;Riften;53.4;3;1;si;no;no;no;no;0;no;semi;406000
188;Riften;53.2;3;1;si;no;no;no;no;2;si;si;406000
189;Riften;56;3;2;si;no;no;no;si;1;no;semi;420000
190;Riften;44;3;1;si;no;si;no;no;2;si;semi;427700
191;Riften;29.05;5;1;no;no;si;no;no;0;no;semi;434000
192;Riften;50.75;3;1;si;si;si;no;no;2;no;semi;434000
193;Riften;45.1;3;1;si;no;no;no;no;0;no;semi;447300
194;Riften;50.4;3;1;si;no;no;no;no;1;no;semi;448000
195;Riften;45.2;2;1;si;no;no;no;no;0;si;si;451500
196;Riften;63.2;3;1;si;si;si;no;no;0;si;semi;455000
197;Riften;66.8;3;1;si;si;no;no;si;1;no;semi;462000
198;Riften;38.7;2;1;si;si;si;no;no;0;si;semi;462000
199;Riften;60.1;3;1;si;no;si;no;no;0;no;semi;462000
200;Riften;64;2;1;si;no;no;no;no;0;si;semi;469000
201;Riften;112.4;2;1;si;no;no;no;si;2;si;no;476000
202;Riften;70.4;3;1;si;no;no;no;no;2;si;semi;483000
203;Riften;51.2;2;1;si;no;si;no;no;1;no;semi;490000
204;Riften;57.7;3;1;si;si;si;no;no;0;no;semi;490000
205;Riften;77.2;3;1;si;no;no;no;no;0;no;no;490000
206;Riften;38;3;2;no;no;si;no;si;1;no;semi;495600
207;Riften;54.1;4;3;si;no;si;no;no;2;no;semi;497000
208;Riften;58;2;1;si;si;si;no;no;0;no;semi;503300
209;Riften;76;3;1;si;si;si;no;no;0;si;si;504000
210;Riften;40;3;1;si;no;si;no;no;0;no;no;511000
211;Riften;44.1;3;1;no;no;no;no;si;0;no;semi;514500
212;Riften;52.6;4;1;si;no;si;no;si;0;no;si;525000
213;Riften;65;3;2;si;no;si;no;no;0;no;semi;525000
214;Riften;112.69;3;1;si;no;no;no;no;1;si;semi;525000
215;Riften;95.2;3;1;si;no;no;no;si;2;no;si;525000
216;Riften;77.1;3;2;si;si;si;no;no;1;si;si;539000
217;Riften;43;3;3;si;no;si;no;no;0;no;semi;553000
218;Riften;54;4;1;si;no;no;no;si;2;si;semi;556500
219;Riften;64;5;1;si;si;si;no;si;0;si;si;556500
220;Riften;115;4;2;si;no;no;no;no;1;no;semi;560000
221;Riften;58;5;2;no;no;si;si;no;0;no;no;560000
222;Riften;73.6;3;1;si;no;no;no;no;0;si;semi;560000
223;Riften;61.36;3;1;si;si;si;no;si;0;si;no;560000
224;Riften;76.6;4;2;si;si;si;no;no;1;si;semi;565250
225;Riften;80;3;1;si;no;si;no;no;2;si;semi;580300
226;Riften;58;3;1;si;no;no;no;si;0;no;no;581000
227;Riften;65;3;1;si;si;no;no;si;1;no;si;587300
228;Riften;47;4;1;si;si;no;no;si;0;no;si;595000
229;Riften;72.54;4;2;si;no;si;no;no;1;si;semi;595000
230;Riften;74.2;3;1;si;no;si;no;si;0;si;si;595000
231;Riften;75.4;3;1;si;si;si;no;no;2;si;si;595000
232;Riften;75.25;3;2;si;no;no;no;no;1;no;si;595000
233;Riften;90;3;1;si;si;si;no;si;2;si;semi;602000
234;Riften;78;2;1;si;si;si;no;no;2;no;si;602000
235;Riften;79;3;2;si;si;si;no;no;0;si;no;602000
236;Riften;53;6;2;si;no;no;no;no;0;no;si;608300
237;Riften;106.2;3;1;si;no;si;no;no;2;si;si;608300
238;Riften;76.15;4;2;si;si;no;si;no;1;no;semi;609000
239;Riften;65;3;2;si;si;si;no;no;2;si;si;619500
240;Riften;65;3;2;si;si;no;no;si;1;no;semi;619500
241;Riften;76;3;2;si;no;no;no;si;?;si;no;629300
242;Riften;74;3;1;si;si;si;no;si;1;si;semi;630000
243;Riften;84.1;3;1;si;si;si;no;si;2;si;no;647500
244;Riften;47.6;3;1;si;no;no;si;no;2;no;semi;651000
245;Riften;70;3;2;si;no;no;no;si;0;no;semi;658000
246;Riften;87;3;2;si;no;no;no;no;2;no;no;689500
247;Riften;73.6;4;2;si;no;no;no;si;2;si;si;703500
248;Riften;98.8;2;1;si;no;no;no;si;1;no;semi;707000
249;Riften;70;3;2;si;si;no;no;no;1;no;semi;714000
250;Riften;70;3;2;si;si;no;no;si;1;no;si;721000
251;Riften;61.5;3;2;si;no;no;no;si;2;no;semi;735000
252;Riften;76;4;2;si;si;si;no;si;1;si;no;910000
253;Riften;99.6;4;4;si;no;no;no;si;3;no;si;1225000
254;Windhelm;46.2;2;1;si;no;no;no;no;0;no;no;175000
255;Riften;34;3;1;no;no;no;no;no;0;no;semi;176715
256;Windhelm;46.49;2;1;si;no;no;no;no;0;no;no;189000
257;Riften;44.2;5;1;no;no;no;no;no;0;no;no;196000
258;Windhelm;40;4;1;si;no;no;no;no;0;no;no;210000
259;Riften;34;3;1;si;no;no;no;no;0;no;no;210000
260;Windhelm;63;3;1;no;no;no;no;si;0;si;no;223300
261;Riften;29.5;3;1;no;no;no;si;no;0;no;no;224000
262;Windhelm;49.7;1;1;no;no;no;no;no;0;no;no;227500
263;Windhelm;41.8;2;1;si;no;no;no;no;?;no;no;231000
264;Dawnstar;46.4;2;1;si;no;no;no;no;?;no;no;234500
265;Dawnstar;42.64;2;1;si;no;no;no;no;0;no;no;238000
266;Dawnstar;42.4;2;1;no;si;no;no;no;1;no;no;245000
267;Dawnstar;45;2;1;si;si;no;no;no;0;no;no;245000
268;Dawnstar;87;2;1;si;no;no;no;no;0;no;no;245000
269;Dawnstar;42.1;3;1;si;no;si;no;no;0;no;no;245000
270;Dawnstar;58.4;2;1;si;no;no;no;no;0;no;no;245000
271;Dawnstar;40;3;1;no;no;no;no;no;0;no;semi;248500
